"detection_threshold","PF_est","PD_est","case"
3.3,0,0,"A = one_pt_five"
3.35,0,0,"A = one_pt_five"
3.4,0,0,"A = one_pt_five"
3.45,0,0,"A = one_pt_five"
3.5,0,0,"A = one_pt_five"
3.55,0,0,"A = one_pt_five"
3.6,0,0,"A = one_pt_five"
3.65,0,0,"A = one_pt_five"
3.7,0,0,"A = one_pt_five"
3.75,0,0,"A = one_pt_five"
3.8,0,0,"A = one_pt_five"
3.85,0,0,"A = one_pt_five"
3.9,0,0,"A = one_pt_five"
3.95,0,0,"A = one_pt_five"
4,0,0,"A = one_pt_five"
